rank,event_title,market_question,category,resolution,break_confidence,wrong_side_exposure_usd,market_volume_usd,end_date,surprise_type,surprise_subtype,verification_status,pre_event_signal,analyst_note
1,Khamenei out as Supreme Leader of Iran by February 28?,Khamenei out as Supreme Leader of Iran by February 28?,Geopolitics,YES,98.9%,"129,607,149","131,114,971",2026-02-28,exogenous shock,geopolitical cascade,verified,No reasonable pre-event signal. Israeli-US decapitation strike on Feb 28 2026 was a strategic surprise.,Anchor case for exogenous shock category. ~$130M wrong-side exposure on a single underlying event
2,Iran x Israel/US conflict ends by...?,Iran x Israel/US conflict ends by April 7?,Geopolitics,YES,96.9%,"47,210,045","48,720,376",2026-03-31,exogenous shock,geopolitical cascade,verified,No pre-event signal for war escalation triggered by Feb 28 strike.,Part of Khamenei cascade
3,Trump x Ukraine mineral deal signed before May?,Trump x Ukraine mineral deal signed before May?,Politics,YES,98.2%,"6,710,520","6,833,524",2025-04-30,resolution dispute,UMA token-weighted vote flip,verified,Public reporting in the week before resolution clearly showed no deal had been signed.,via XO Labs paper. Canonical 'whale tax' case where UMA dispute mechanism resolved against the underlying truth. Strong tie-in to XO Labs work
4,What price will Bitcoin hit in January?,"Will Bitcoin dip to $80,000 in January?",Crypto,YES,97.4%,"6,576,718","6,752,277",2026-02-01,model failure,price threshold bracket,needs review,Public price feeds and options-implied probabilities available; bracket consistently misallocates tail mass.,: was this an exogenous price shock (sudden move) or a model failure (bracket priced too tight)? Likely model failure but depends on the specific bracket that broke
5,US next strikes Iran on...?,"Will the US next strike Iran on February 28, 2026 (ET)?",Geopolitics,YES,95.7%,"5,586,350","5,837,357",2026-02-28,exogenous shock,geopolitical cascade,verified,Strike was classified operation; no public pre-event signal.,Part of Khamenei cascade
6,Iran Strike on Israel by...?,Iran Strike on Israel by February 28?,Geopolitics,YES,96.2%,"4,813,585","5,006,329",2026-02-28,exogenous shock,geopolitical cascade,verified,Retaliatory strike following Feb 28 assassination.,Part of Khamenei cascade
7,What price will Bitcoin hit in February?,"Will Bitcoin dip to $85,000 by February 28, 2025?",Crypto,YES,96.6%,"4,576,547","4,737,627",2025-02-28,model failure,price threshold bracket,needs review,Public price feeds available.,Same as January Bitcoin case
8,US military action against Iran by Saturday?,US military action against Iran by Saturday?,Geopolitics,YES,95.7%,"4,287,768","4,480,427",2025-06-21,exogenous shock,geopolitical cascade,verified,Classified military operation; no public pre-event signal.,Part of Khamenei cascade. End date was June 2025 per the earlier check; pre-dates main cascade
9,FIDE World Blitz Chess Champion,Will another person win the 2024 World Blitz Championship?,Other,YES,96.5%,"3,587,781","3,719,835",2024-12-31,information-asymmetric,competition upset,needs review,Chess form lines and ratings public but tournament-specific dynamics private.,for winner identity
10,"Bitcoin above $105,000 on June 6?","Bitcoin above $105,000 on June 6?",Crypto,YES,96.5%,"3,444,165","3,567,235",2025-06-06,exogenous shock,price threshold near-miss/hit,needs review,BTC price was at $105K level in early June 2026; the market priced near-certainty in one direction.,End date June 6 is yesterday (today is June 7 2026). Check actual close
11,US strikes Yemen by...?,US strikes Yemen by December 31?,Other,YES,97.4%,"3,261,569","3,348,634",2025-12-31,,,UNCLASSIFIED - needs review,,
12,"Elon Musk # tweets December 26 - January 2, 2026?","Will Elon Musk post 500-519 tweets from December 26 to January 2, 2026?",Tech,YES,99.3%,"2,633,358","2,651,921",2026-01-02,model failure,negRisk count bracket compression,proposed,Historical tweet counts are public; market consistently misplaces probability mass in narrow brackets.,Recurring pattern across weeks. Same structural failure mode
13,Nobel Peace Prize Winner 2025 ,Will María Corina Machado win the Nobel Peace Prize in 2025?,Other,YES,99.3%,"2,227,305","2,243,006",2025-10-10,,,UNCLASSIFIED - needs review,,
