rank,event_title,market_question,category,resolution,break_confidence,wrong_side_exposure_usd,market_volume_usd,end_date,surprise_type,surprise_subtype,status,analyst_note
1,Khamenei out as Supreme Leader of Iran by February 28?,Khamenei out as Supreme Leader of Iran by February 28?,Geopolitics,YES,98.9%,"129,607,149","131,114,971",2026-02-28,exogenous shock,geopolitical cascade,verified,Anchor case for exogenous shock category. ~$130M wrong-side exposure on a single underlying event
2,Iran x Israel/US conflict ends by...?,Iran x Israel/US conflict ends by April 7?,Geopolitics,YES,96.9%,"47,210,045","48,720,376",2026-03-31,exogenous shock,geopolitical cascade,verified,Part of Khamenei cascade
3,Trump x Ukraine mineral deal signed before May?,Trump x Ukraine mineral deal signed before May?,Politics,YES,98.2%,"6,710,520","6,833,524",2025-04-30,resolution dispute,UMA token-weighted vote flip,verified,via XO Labs paper. Canonical 'whale tax' case where UMA dispute mechanism resolved against the underlying truth. Strong tie-in to XO Labs work
4,What price will Bitcoin hit in January?,"Will Bitcoin dip to $80,000 in January?",Crypto,YES,97.4%,"6,576,718","6,752,277",2026-02-01,model failure,price threshold bracket,verified,"BTC dipped to ~$80K in Jan 2026 driven by a confluence of heavy leveraged liquidations, institutional ETF outflows, and macro risk-off sentiment (~$1.6B wiped across crypto in days; dlnews). No single discrete shock; ordinary volatility crossing the bracket threshold. Resolved YES on the dip-to-$80K market."
5,US next strikes Iran on...?,"Will the US next strike Iran on February 28, 2026 (ET)?",Geopolitics,YES,95.7%,"5,586,350","5,837,357",2026-02-28,exogenous shock,geopolitical cascade,verified,Part of Khamenei cascade
6,Iran Strike on Israel by...?,Iran Strike on Israel by February 28?,Geopolitics,YES,96.2%,"4,813,585","5,006,329",2026-02-28,exogenous shock,geopolitical cascade,verified,Part of Khamenei cascade
7,What price will Bitcoin hit in February?,"Will Bitcoin dip to $85,000 by February 28, 2025?",Crypto,YES,96.6%,"4,576,547","4,737,627",2025-02-28,model failure,price threshold bracket,verified,"BTC fell below $85K by late Feb 2025 from multiple diffuse causes, Trump tariff fears, the ~$1.5B Bybit hack, ETF outflows, liquidations after support broke, and disappointment over the pace of pro-crypto policy (vtmarkets). No single dominant catalyst; a confluence of ordinary market forces crossing the threshold, not one exogenous shock. Resolved YES."
8,US military action against Iran by Saturday?,US military action against Iran by Saturday?,Geopolitics,YES,95.7%,"4,287,768","4,480,427",2025-06-21,exogenous shock,geopolitical cascade,verified,Part of Khamenei cascade. End date was June 2025 per the earlier check; pre-dates main cascade
9,FIDE World Blitz Chess Champion,Will another person win the 2024 World Blitz Championship?,Other,YES,96.5%,"3,587,781","3,719,835",2024-12-31,resolution dispute,shared-title winner-take-all break,verified,"Carlsen and Nepomniachtchi shared the 2024 FIDE World Blitz title after a tied final; Carlsen proposed the co-championship due to fatigue and FIDE confirmed the historic shared title. The shared outcome broke Polymarket's winner-take-all negRisk structure. Resolution-layer failure, not an information gap."
10,"Bitcoin above $105,000 on June 6?","Bitcoin above $105,000 on June 6?",Crypto,YES,96.5%,"3,444,165","3,567,235",2025-06-06,model failure,price threshold bracket,verified,"BTC crossed above $105K in mid-to-late May 2025 and held into June on risk-on drift; Decrypt reported 'no immediately obvious reason for the latest leg up' beyond cooling trade-war fears. Ordinary movement crossing the threshold, not a discrete shock. (Exact June 6 close not independently pinned; classification rests on the absence of a catalyst.) Resolved YES."
