event_id,event_title,market_question,category,category_source,resolution,neg_risk,snap_7d_pre,snap_24h_pre,snap_final,break_confidence,market_volume_usd,wrong_side_exposure_usd,end_date,bracket_pattern,in_iran_cluster
903288,Pakistan Election: Who will be next Prime Minister?,Will Nawaz Sharif be next prime minister of Pakistan?,Politics,inferred,NO,True,0.9350,0.9685,0.9705,0.9705,134062.45,130107.61,2024-02-08,other,false
10085,More border encounters in March vs. Feb?,More border encounters in March vs. Feb?,Other,inferred,NO,False,0.9150,0.4750,0.9700,0.9700,17203.80,16687.69,2024-03-31,other,false
903336,US government shutdown by Mar 9?,US government shutdown by Mar 9?,Other,inferred,YES,False,0.0700,0.0355,0.0600,0.9645,388204.08,374422.83,2024-03-09,other,false
903599,Trump's best state on Super Tuesday?,Will Alaska have highest margin of victory for Trump in Super Tuesday Republican Primaries?,Politics,inferred,YES,True,,0.0425,0.0480,0.9575,46947.67,44952.40,2024-03-05,other,false
10031,NFL Draft: Top 5 Picks Scenarios,"Will 3 QBs, 1 WR and 1 OT be taken with the first 5 picks of the 2024 NFL Draft?",Sports,inferred,YES,True,0.5000,0.0255,0.0250,0.9750,4161.89,4057.84,2024-04-25,other,false
10210,US bank failure in April?,US bank failure in April?,Other,inferred,YES,False,0.0135,0.9050,0.9050,0.9865,56886.52,56118.55,2024-04-30,other,false
10349,Israel military action against Iran by Friday?,Israel military action against Iran by Friday?,Geopolitics,inferred,YES,False,,0.0750,0.0250,0.9750,391886.62,382089.46,2024-04-19,other,true
10553,Kentucky Derby Winner,Will Mystik Dan win the 2024 Kentucky Derby?,Other,inferred,YES,True,,,0.0300,0.9700,1100.00,1067.00,2024-05-04,other,false
903739,Will RFK Jr. announce Libertarian Party bid?,Will RFK Jr. announce Libertarian Party bid?,Other,inferred,YES,False,0.0145,0.0285,0.0335,0.9855,41661.38,41057.29,2024-05-26,other,false
10407,Indian Election: How many seats will the NDA win?,Will the NDA win less than 300 seats?,Politics,inferred,YES,True,0.1450,0.0285,0.0595,0.9715,134649.62,130812.11,2024-06-04,other,false
10598,Belgian Election: Which party wins the most seats?,Will the N-VA win the most seats in the Belgian federal elections?,Politics,inferred,YES,True,0.0305,0.0375,0.0375,0.9695,38209.94,37044.54,2024-06-09,other,false
10598,Belgian Election: Which party wins the most seats?,Will VB win the most seats in the Belgian federal elections?,Politics,inferred,NO,True,0.8850,0.9650,0.9625,0.9650,70561.55,68091.89,2024-06-09,other,false
